ID,latitude,longitude,elevation,IGBP,Koppen,start,end,IRGA,sonic_anemometer,instrument_height,canopy_height,plant,continent,country,system,tier
CA-TP1,42.66093611,-80.55951944,197,ENF,Dfb - Snow fully humid warm summer,2002-01-01 00:00:00,2014-12-31 23:30:00,LI-7000,CSAT-3,3.0,2.8,Broadleaf crop,North America,Canada,C,1
CA-TP2,42.77441944,-80.458775,239,ENF,Dfb - Snow fully humid warm summer,2002-01-01 00:00:00,2007-12-31 23:30:00,LI-7000,CSAT-3,15.0,11.1,Deciduous Broadleaf Trees,North America,Canada,C,1
CA-TP3,42.70681111,-80.34831389,216,ENF,Dfb - Snow fully humid warm summer,2002-01-01 00:00:00,2014-12-31 23:30:00,LI-7000,CSAT-3,16.0,13.1,Evergreen Needleleaf Trees,North America,Canada,C,1
CA-TP4,42.710161,-80.357376,219,ENF,Dfb - Snow fully humid warm summer,2002-01-01 00:00:00,2014-12-31 23:30:00,LI-7000,CSAT-3,28.0,21.8,Evergreen Needleleaf Trees,North America,Canada,C,1
CA-TPD,42.635328,-80.557731,214,DBF,Dfb - Snow fully humid warm summer,2012-01-01 00:00:00,2014-12-31 23:30:00,LI-7200,CSAT3,35.7,25.7,Deciduous Broadleaf Trees,North America,Canada,C,1
CG-Tch,-4.28917,11.65642,1,SAV,Aw - Equatorial savannah with dry winter,2006-01-01 00:00:00,2009-12-31 23:30:00,LI-7000, Young 81000V,3.8,1.0,Grass,Africa,Congo - Kinshasa,C,1
CH-Cha,47.21022,8.41044,394,GRA,Cfb - Warm temperate fully humid with warm summer,2005-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,Solent R3,2.0,0.5,Grass,Europe,Switzerland,O,1
CH-Dav,46.81533,9.85591,1762,ENF,ET - Polar tundra,1997-01-01 00:00:00,2014-12-31 23:30:00,LI-6262(1997to2005)/LI-7500,Solent R2(1997-2006)/R3,35.0,25.0,Evergreen Needleleaf Trees,Europe,Switzerland,M,1
CH-Fru,47.11583,8.53778,975,GRA,Cfb - Warm temperate fully humid with warm summer,2005-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,Solent R3,2.0,0.5,Grass,Europe,Switzerland,O,1
CH-Lae,47.47808,8.365,645,MF,Cfb - Warm temperate fully humid with warm summer,2004-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,Gill solent HS,47.0,30.6,Deciduous Broadleaf Trees,Europe,Switzerland,O,1
CH-Oe1,47.28583,7.73194,451,GRA,Cfb - Warm temperate fully humid with warm summer,2002-01-01 00:00:00,2008-12-31 23:30:00,LI-7500,models R2 and HS,1.2,0.5,Cereal crop,Europe,Switzerland,O,1
CH-Oe2,47.28631,7.73433,450,CRO,Cfb - Warm temperate fully humid with warm summer,2004-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,Solent R3-50,1.6,0.3,Cereal crop,Europe,Switzerland,O,1
CN-Cha,42.4025,128.0958,754,MF,Dwb - Snow dry winter warm summer,2003-01-01 00:00:00,2005-12-31 23:30:00,LI-7500,CSAT3,41.5,26.0,Deciduous Broadleaf Trees,Asia,China,O,1
CN-Cng,44.5934,123.5092,142,GRA,Dwa - Cold dry winter hot summer,2007-01-01 00:00:00,2010-12-31 23:30:00,LI-7500,CSAT3,2.0,0.8,,Asia,China,O,1
CN-Dan,30.4978,91.0664,4751,GRA,ET - Polar tundra,2004-01-01 00:00:00,2005-12-31 23:30:00,LI-7500,CSAT3,2.1,0.1,Grass,Asia,China,O,1
CN-Din,23.1733,112.5361,261,EBF,Cfa - Warm temperate fully humid with hot summer,2003-01-01 00:00:00,2005-12-31 23:30:00,LI-7500,CSAT3,27.0,17.0,Evergreen Broadleaf Trees,Asia,China,O,1
CN-Du2,42.0467,116.2836,1331,GRA,Dwb - Snow dry winter warm summer,2006-01-01 00:00:00,2008-12-31 23:30:00,LI-7500,CSAT3,4.0,0.45,Grass,Asia,China,O,1
CN-Du3,42.0551,116.2809,1312,GRA,Dwb - Snow dry winter warm summer,2009-01-01 00:00:00,2010-12-31 23:30:00,LI-7500,CSAT3,3.0,0.2,Grass,Asia,China,O,1
CN-Ha2,37.6086,101.3269,3200,WET,ET - Polar tundra,2003-01-01 00:00:00,2005-12-31 23:30:00,LI-7500,CSAT3,2.5,2.2,Grass,Asia,China,O,1
CN-HaM,37.37,101.18,3995,GRA,Dwc - Cold dry winter cold summer,2002-01-01 00:00:00,2004-12-31 23:30:00,LI-7500,CSAT3,2.2,0.2,,Asia,China,O,1
CN-Qia,26.7414,115.0581,64,ENF,Cfa - Warm temperate fully humid with hot summer,2003-01-01 00:00:00,2005-12-31 23:30:00,LI-7500,CSAT3,23.0,12.0,Shrub,Asia,China,O,1
CN-Sw2,41.7902,111.8971,1444,GRA,BSk - Arid Steppe cold,2010-01-01 00:00:00,2012-12-31 23:30:00,LI-7500,CSAT3,2.0,0.5,,Asia,China,O,1
CZ-BK1,49.50213,18.53686,862,ENF,Dfb - Snow fully humid warm summer,2004-01-01 00:00:00,2014-12-31 23:30:00,LI-6250,"R3-100(unitl 2011), HS-50",17.0,12.0,Evergreen Needleleaf Trees,Europe,Czech Republic,C,1
CZ-BK2,49.49443,18.54285,837,GRA,Dfb - Snow fully humid warm summer,2004-01-01 00:00:00,2012-12-31 23:30:00,LI-7000,R3,3.0,1.0,Evergreen Needleleaf Trees,Europe,Czech Republic,C,1
CZ-wet,49.02465,14.77035,425,WET,Cfb - Warm temperate fully humid with warm summer,2006-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,R3,2.7,0.1,Cereal crop,Europe,Czech Republic,O,1
DE-Akm,53.86617,13.68342,4,WET,Cfb - Warm temperate fully humid with warm summer,2009-01-01 00:00:00,2014-12-31 23:30:00,LI-7000,CSAT-3,9.5,3.0,Urban and built up,Europe,Germany,C,1
DE-Geb,51.1001,10.9143,157,CRO,Cfb - Warm temperate fully humid with warm summer,2001-01-01 00:00:00,2014-12-31 23:30:00,LI-6262/LI-7000(since 2002),R3,6.0,1.0,Cereal crop,Europe,Germany,C,1
DE-Gri,50.95004,13.51259,377,GRA,Cfb - Warm temperate fully humid with warm summer,2004-01-01 00:00:00,2014-12-31 23:30:00,LI-7500(2002-2005)/LI-6262(2005)/LI-7000,METEK(2002-2007)/Solent R3,3.0,1.0,Deciduous Broadleaf Trees,Europe,Germany,M,1
DE-Hai,51.07917,10.453,433,DBF,Cfb - Warm temperate fully humid with warm summer,2000-01-01 00:00:00,2012-12-31 23:30:00,LI-6262,Gill Solent R3,43.5,33.0,Deciduous Broadleaf Trees,Europe,Germany,C,1
DE-Kli,50.89306,13.52238,468,CRO,Cfb - Warm temperate fully humid with warm summer,2004-01-01 00:00:00,2014-12-31 23:30:00,LI-7000,Solent R3,3.5,1.0,Cereal crop,Europe,Germany,C,1
DE-Lkb,49.09962,13.30467,1305,ENF,Cfb - Warm temperate fully humid with warm summer,2009-01-01 00:00:00,2013-12-31 23:30:00,LI-7500,CSAT3,9.0,18.0,Evergreen Needleleaf Trees,Europe,Germany,O,1
DE-Lnf,51.32822,10.3678,456,DBF,Cfb - Warm temperate fully humid with warm summer,2002-01-01 00:00:00,2012-12-31 23:30:00,LI-6262,R3,44.0,34.0,Deciduous Broadleaf Trees,Europe,Germany,C,1
DE-Obe,50.78666,13.72129,695,ENF,Cfb - Warm temperate fully humid with warm summer,2008-01-01 00:00:00,2014-12-31 23:30:00,LI-7000,Metek,42.0,13.5,Evergreen Needleleaf Trees,Europe,Germany,C,1
DE-RuR,50.62191,6.30413,515,GRA,Cfb - Warm temperate fully humid with warm summer,2011-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,2.6,0.1,Grass,Europe,Germany,O,1
DE-RuS,50.86591,6.44717,101,CRO,Cfb - Warm temperate fully humid with warm summer,2011-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,2.2,2.0,Urban and built up,Europe,Germany,O,1
DE-Seh,50.87062,6.44965,103,CRO,Cfb - Warm temperate fully humid with warm summer,2007-01-01 00:00:00,2010-12-31 23:30:00,LI-7500,CSAT3,3.0,0.5,Cereal crop,Europe,Germany,O,1
DE-SfN,47.80639,11.3275,595,WET,Cfb - Warm temperate fully humid with warm summer,2012-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,6.0,2.0,Evergreen Needleleaf Trees,Europe,Germany,O,1
DE-Spw,51.89225,14.03369,62,WET,Cfb - Warm temperate fully humid with warm summer,2010-01-01 00:00:00,2014-12-31 23:30:00,LI-7000,CSAT-3,39.0,10.0,Deciduous Broadleaf Trees,Europe,Germany,C,1
DE-Tha,50.96235,13.56516,320,ENF,Cfb - Warm temperate fully humid with warm summer,1996-01-01 00:00:00,2014-12-31 23:30:00,LI-6262(1996-2006)/LI-7000,Gill Solent R2(1996-2006)/Gill Solent R3,42.0,28.0,Evergreen Needleleaf Trees,Europe,Germany,C,1
DE-Zrk,53.87594,12.88901,1,WET,Cfb - Warm temperate fully humid with warm summer,2013-01-01 00:00:00,2014-12-31 23:30:00,LI-7200,HS-50,2.63,0.1,Deciduous Broadleaf Trees,Europe,Germany,C,1
DK-Eng,55.69053,12.19175,18,GRA,Cfb - Warm temperate fully humid with warm summer,2005-01-01 00:00:00,2008-12-31 23:30:00,LI-7500,Metek,2.0,1.0,Cereal crop,Europe,Denmark,O,1
DK-Fou,56.4842,9.58722,55,CRO,Cfb - Warm temperate fully humid with warm summer,2005-01-01 00:00:00,2005-12-31 23:30:00,LI-7500,Metek,3.5,2.0,Cereal crop,Europe,Denmark,O,1
DK-NuF,64.13083,-51.38611,57,WET,ET - Polar tundra,2008-01-01 00:00:00,2014-12-31 23:30:00,LI-7000,R3-50,2.1,1.0,Shrub,Europe,Denmark,C,1
DK-Sor,55.48587,11.64464,35,DBF,Cfb - Warm temperate fully humid with warm summer,1996-01-01 00:00:00,2014-12-31 23:30:00,LI-6262/LI-7000,Solent 1012 R2,43.0,25.8,Deciduous Broadleaf Trees,Europe,Denmark,C,1
DK-ZaF,74.48143,-20.55452,65,WET,ET - Polar tundra,2008-01-01 00:00:00,2011-12-31 23:30:00,LI-6262,Gill Solent,3.5,0.2,Shrub,Europe,Denmark,C,1
DK-ZaH,74.47328,-20.5503,48,GRA,ET - Polar tundra,2000-01-01 00:00:00,2014-12-31 23:30:00,LI-6262(2000-2007)/LI-7000,R2(2000-2007)/R3,3.0,1.0,Shrub,Europe,Denmark,C,1
ES-Amo,36.83361,-2.25232,53,OSH,BSk - Arid Steppe cold,2007-01-01 00:00:00,2012-12-31 23:30:00,LI-7500,CSAT-3,3.05,0.3,Shrub,Europe,Spain,O,1
ES-LgS,37.09794,-2.96583,2261,OSH,"Csa - Warm temperate with dry, hot summer",2007-01-01 00:00:00,2009-12-31 23:30:00,LI-7500,METEK,2.25,0.2,Evergreen Needleleaf Trees,Europe,Spain,O,1
ES-LJu,36.92659,-2.75212,1622,OSH,"Csa - Warm temperate with dry, hot summer",2004-01-01 00:00:00,2013-12-31 23:30:00,LI-7500,CSAT-3,2.5,0.5,Shrub,Europe,Spain,O,1
ES-Ln2,36.9695,-3.47582,2252,OSH,"Csa - Warm temperate with dry, hot summer",2009-01-01 00:00:00,2009-12-31 23:30:00,LI-7500,CSAT-3,2.0,1.0,Shrub,Europe,Spain,O,1
FI-Hyy,61.84741,24.29477,185,ENF,Dfc - Snow fully humid cool summer,1996-01-01 00:00:00,2014-12-31 23:30:00,LI-6262,Solent 1012R2,23.3,14.0,Evergreen Needleleaf Trees,Europe,Finland,C,1
FI-Jok,60.8986,23.51345,118,CRO,Dfc - Snow fully humid cool summer,2000-01-01 00:00:00,2003-12-31 23:30:00,LI-6262,SA-ATI,3.0,0.2,Broadleaf crop,Europe,Finland,C,1
FI-Let,60.64183,23.95952,128,ENF,Dfb - Snow fully humid warm summer,2009-01-01 00:00:00,2012-12-31 23:30:00,LI-7000,USA-1/Metek,25.5,10.03,Evergreen Needleleaf Trees,Europe,Finland,C,1
FI-Lom,67.99724,24.20918,270,WET,Dfc - Snow fully humid cool summer,2007-01-01 00:00:00,2009-12-31 23:30:00,LI-7000,USA-1 (METEK),3.0,0.4,Grass,Europe,Finland,C,1
FI-Sod,67.36239,26.63859,188,ENF,Dfc - Snow fully humid cool summer,2001-01-01 00:00:00,2014-12-31 23:30:00,LI-6262,SWS 211,23.0,12.7,Evergreen Needleleaf Trees,Europe,Finland,C,1
FR-Fon,48.47636,2.7801,94,DBF,Cfb - Warm temperate fully humid with warm summer,2005-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,Solent R3,38.0,29.0,Deciduous Broadleaf Trees,Europe,France,O,1
FR-Gri,48.84422,1.95191,117,CRO,Cfb - Warm temperate fully humid with warm summer,2004-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,R3-50,3.17,2.0,Cereal crop,Europe,France,O,1
FR-LBr,44.71711,-0.7693,62,ENF,Cfb - Warm temperate fully humid with warm summer,1996-01-01 00:00:00,2008-12-31 23:30:00,LI-6262,Solent R2,25.0,18.0,Shrub,Europe,France,C,1
FR-Pue,43.7413,3.5957,211,EBF,"Csa - Warm temperate with dry, hot summer",2000-01-01 00:00:00,2014-12-31 23:30:00,LI 6262,Solent R2(1998-1999)/R3(2000-2001),11.0,6.0,Evergreen Needleleaf Trees,Europe,France,C,1
GF-Guy,5.27877,-52.92486,29,EBF,"Af - Equatorial rainforest, fully humid",2004-01-01 00:00:00,2014-12-31 23:30:00,LI-7500(LI-7000 added in 2005),R3-50,52.0,35.0,Evergreen Broadleaf Trees,South America,French Guiana,M,1
GH-Ank,5.26854,-2.69421,76,EBF,Am - Equatorial monsoon,2011-01-01 00:00:00,2014-12-31 23:30:00,LI-6262,Windmaster Pro,65.0,30.0,Evergreen Broadleaf Trees,Africa,Ghana,C,1
IT-BCi,40.52375,14.95744,13,CRO,"Csa - Warm temperate with dry, hot summer",2004-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,Solent R3,3.8,0.3,Cereal crop,Europe,Italy,O,1
IT-CA1,42.38041,12.02656,204,DBF,"Csa - Warm temperate with dry, hot summer",2011-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,5.0,1.0,Cereal crop,Europe,Italy,O,1
IT-CA2,42.37722,12.02604,202,CRO,"Csa - Warm temperate with dry, hot summer",2011-01-01 00:00:00,2014-12-31 23:30:00,LI-7500A,USA-1 (METEK),3.0,0.5,Cereal crop,Europe,Italy,O,1
IT-CA3,42.38,12.0222,199,DBF,"Csa - Warm temperate with dry, hot summer",2011-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,5.0,1.0,Cereal crop,Europe,Italy,O,1
IT-Col,41.84936,13.58814,1645,DBF,Cfa - Warm temperate fully humid with hot summer,1996-01-01 00:00:00,2014-12-31 23:30:00,LI-6262,Gill,25.2,20.2,Deciduous Broadleaf Trees,Europe,Italy,C,1
IT-Cp2,41.70427,12.35729,16,EBF,"Csa - Warm temperate with dry, hot summer",2012-01-01 00:00:00,2014-12-31 23:30:00,LI-7200,Windmaster,15.0,12.0,Evergreen Needleleaf Trees,Europe,Italy,C,1
IT-Cpz,41.70525,12.37611,9,EBF,"Csa - Warm temperate with dry, hot summer",1997-01-01 00:00:00,2009-12-31 23:30:00,LI-6262,R2,15.0,12.0,Evergreen Needleleaf Trees,Europe,Italy,C,1
IT-Isp,45.81264,8.63358,220,DBF,Cfb - Warm temperate fully humid with warm summer,2013-01-01 00:00:00,2014-12-31 23:30:00,LI-7200,HS-100,36.0,24.0,Deciduous Broadleaf Trees,Europe,Italy,C,1
IT-La2,45.9542,11.2853,1370,ENF,Cfb - Warm temperate fully humid with warm summer,2000-01-01 00:00:00,2002-12-31 23:30:00,LI-7500,CSAT3,36.0,34.5,Evergreen Needleleaf Trees,Europe,Italy,O,1
IT-Lav,45.9562,11.28132,1305,ENF,Cfb - Warm temperate fully humid with warm summer,2003-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,Gill,28.0,28.0,Evergreen Needleleaf Trees,Europe,Italy,O,1
IT-MBo,46.01468,11.04583,1547,GRA,Dfb - Snow fully humid warm summer,2003-01-01 00:00:00,2013-12-31 23:30:00,LI-7500,R3,2.5,0.3,Grass,Europe,Italy,O,1
IT-Noe,40.60618,8.15117,25,CSH,"Csa - Warm temperate with dry, hot summer",2004-01-01 00:00:00,2014-12-31 23:30:00,LI-7500,CSAT3,3.5,1.75,Shrub,Europe,Italy,O,1
IT-PT1,45.20087,9.06104,70,DBF,Cfa - Warm temperate fully humid with hot summer,2002-01-01 00:00:00,2004-12-31 23:30:00,LI-6262,Metek,33.0,26.6,Cereal crop,Europe,Italy,C,1
IT-Ren,46.58686,11.43369,1794,ENF,Dfc - Snow fully humid cool summer,1998-01-01 00:00:00,2013-12-31 23:30:00,LI-7500,"1000V, RM-Young",32.0,29.0,Evergreen Needleleaf Trees,Europe,Italy,O,1
IT-Ro1,42.40812,11.93001,153,DBF,"Csa - Warm temperate with dry, hot summer",2000-01-01 00:00:00,2008-12-31 23:30:00,LI-6262, METEK USA1,18.6,17.0,Deciduous Broadleaf Trees,Europe,Italy,C,1
IT-Ro2,42.39026,11.92093,165,DBF,"Csa - Warm temperate with dry, hot summer",2002-01-01 00:00:00,2012-12-31 23:30:00,LI-6262,Gill,18.6,17.0,Cereal crop,Europe,Italy,C,1
